transaction_id,user_id,product_id,quantity,price,transaction_date
1,8,9,4,176.87,2023-11-11
2,2,5,4,217.05,2023-10-30
3,48,43,1,188.43,2022-06-05
4,18,10,4,255.45,2023-05-23
5,16,66,7,173.91,2022-02-07
6,15,31,6,425.54,2022-05-10
7,9,36,5,412.05,2023-05-30
8,48,86,2,57.24,2023-08-28
9,7,63,5,480.59,2022-12-06
10,44,28,6,319.61,2022-04-13
11,48,70,9,415.21,2023-03-27
12,35,17,7,355.12,2022-04-13
13,6,93,9,220.57,2023-06-23
14,38,74,6,368.23,2023-04-13
15,28,74,1,482.91,2022-01-16
16,3,61,2,138.69,2022-05-28
17,2,32,5,405.06,2023-02-24
18,6,61,3,271.4,2023-11-02
19,14,53,10,244.33,2022-06-08
20,15,25,5,220.61,2022-03-18
21,33,13,1,366.86,2023-04-26
22,39,13,2,137.86,2022-09-29
23,2,85,10,426.6,2022-12-13
24,36,56,7,416.21,2023-10-01
25,13,46,6,47.9,2023-12-11
26,46,55,6,441.41,2023-02-12
27,42,53,7,125.71,2023-10-28
28,45,60,10,235.03,2022-03-24
29,35,94,9,307.11,2022-12-03
30,27,7,2,192.6,2023-11-22
31,15,87,7,19.21,2023-07-01
32,29,84,10,426.22,2023-01-25
33,38,83,4,95.01,2022-11-21
34,18,13,5,110.0,2023-10-04
35,1,8,1,399.93,2023-05-15
36,49,52,7,173.47,2023-07-09
37,11,94,1,440.76,2022-02-06
38,45,44,9,352.09,2023-09-25
39,28,14,9,141.75,2022-03-12
40,22,32,4,10.02,2022-08-29
41,18,25,6,474.29,2023-10-09
42,10,25,7,47.38,2023-12-02
43,14,69,2,361.44,2022-10-22
44,49,58,6,246.85,2022-08-21
45,22,18,10,380.29,2022-04-03
46,7,55,6,346.85,2023-03-21
47,6,24,2,324.72,2022-04-11
48,25,36,5,247.96,2023-10-11
49,7,60,9,397.5,2023-12-22
50,23,32,5,51.06,2022-04-13
51,23,10,7,114.69,2023-03-31
52,39,57,6,347.43,2022-06-20
53,17,71,7,156.57,2023-12-12
54,3,13,5,292.87,2022-11-03
55,47,7,9,239.26,2022-01-30
56,30,84,3,267.81,2022-02-17
57,35,70,4,215.62,2022-11-29
58,8,2,7,374.24,2022-02-27
59,25,12,7,168.74,2022-10-28
60,6,97,3,352.91,2023-01-03
61,36,31,10,139.1,2023-01-19
62,19,22,10,129.44,2023-03-18
63,41,53,5,64.72,2022-05-30
64,40,63,7,100.33,2022-09-08
65,24,62,9,64.18,2023-06-28
66,37,28,1,270.25,2023-02-26
67,13,52,5,382.28,2023-08-03
68,46,8,5,96.65,2023-11-30
